precision,recall
0.4827586206896552,0.9130434782608695
0.4642857142857143,0.8478260869565217
0.46987951807228917,0.8478260869565217
0.47560975609756095,0.8478260869565217
0.48148148148148145,0.8478260869565217
0.4875,0.8478260869565217
0.4936708860759494,0.8478260869565217
0.5,0.8478260869565217
0.5064935064935064,0.8478260869565217
0.5131578947368421,0.8478260869565217
0.5066666666666667,0.8260869565217391
0.5,0.8043478260869565
0.5068493150684932,0.8043478260869565
0.5138888888888888,0.8043478260869565
0.5070422535211268,0.782608695652174
0.5,0.7608695652173914
0.4927536231884058,0.7391304347826086
0.5,0.7391304347826086
0.5074626865671642,0.7391304347826086
0.5151515151515151,0.7391304347826086
0.5230769230769231,0.7391304347826086
0.53125,0.7391304347826086
0.5396825396825397,0.7391304347826086
0.5483870967741935,0.7391304347826086
0.5409836065573771,0.717391304347826
0.5087719298245614,0.6304347826086957
0.5178571428571429,0.6304347826086957
0.5272727272727272,0.6304347826086957
0.5370370370370371,0.6304347826086957
0.5471698113207547,0.6304347826086957
0.5576923076923077,0.6304347826086957
0.5686274509803921,0.6304347826086957
0.58,0.6304347826086957
0.5918367346938775,0.6304347826086957
0.6041666666666666,0.6304347826086957
0.5957446808510638,0.6086956521739131
0.5777777777777777,0.5652173913043478
0.5365853658536586,0.4782608695652174
0.5128205128205128,0.43478260869565216
0.5263157894736842,0.43478260869565216
0.5,0.391304347826087
0.5142857142857142,0.391304347826087
0.5294117647058824,0.391304347826087
0.5151515151515151,0.3695652173913043
0.53125,0.3695652173913043
0.5483870967741935,0.3695652173913043
0.5333333333333333,0.34782608695652173
0.5172413793103449,0.32608695652173914
0.48148148148148145,0.2826086956521739
0.46153846153846156,0.2608695652173913
0.5,0.2608695652173913
0.5217391304347826,0.2608695652173913
0.5454545454545454,0.2608695652173913
0.5714285714285714,0.2608695652173913
0.6,0.2608695652173913
0.631578947368421,0.2608695652173913
0.6111111111111112,0.2391304347826087
0.5882352941176471,0.21739130434782608
0.5625,0.1956521739130435
0.5333333333333333,0.17391304347826086
0.5,0.15217391304347827
0.46153846153846156,0.13043478260869565
0.5,0.13043478260869565
0.5454545454545454,0.13043478260869565
0.6,0.13043478260869565
0.6666666666666666,0.13043478260869565
0.75,0.13043478260869565
0.8571428571428571,0.13043478260869565
1.0,0.13043478260869565
1.0,0.10869565217391304
1.0,0.08695652173913043
1.0,0.06521739130434782
1.0,0.0
